model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_age,is_automatic,is_manual,is_semi_auto,fuelType_grouped,model_encoded,transmission_encoded,fuelType_grouped_encoded,price_class,cluster
X7,2017,86304,Automatic,12817,Diesel,52,46.6,5.0,6,1,0,0,Diesel,13,0,0,2,1
X6,2022,51259,Automatic,56258,Petrol,116,59.7,5.0,1,1,0,0,Petrol,12,0,4,2,1
3 Series,2012,44300,Automatic,132240,Diesel,41,30.2,1.5,11,1,0,0,Diesel,2,0,0,1,0
1 Series,2016,44493,Manual,123475,Petrol,246,38.9,3.0,7,0,1,0,Petrol,0,1,4,1,1
X3,2016,11685,Automatic,66199,Diesel,290,37.9,2.5,7,1,0,0,Diesel,9,0,0,0,0
5 Series,2019,18121,Semi-Auto,65948,Petrol,247,27.4,3.0,4,0,0,1,Petrol,4,2,4,0,1
1 Series,2021,34093,Automatic,58782,Petrol,100,44.4,3.0,2,1,0,0,Petrol,0,0,4,1,1
5 Series,2015,52152,Automatic,81759,Diesel,86,49.0,2.5,8,1,0,0,Diesel,4,0,0,2,0
1 Series,2021,34201,Automatic,62599,Diesel,83,25.9,6.0,2,1,0,0,Diesel,0,0,0,1,1
6 Series,2016,94871,Automatic,17291,Petrol,260,50.3,2.5,7,1,0,0,Petrol,5,0,4,2,1
3 Series,2011,47686,Manual,109945,Diesel,220,48.0,3.0,12,0,1,0,Diesel,2,1,0,1,0
X3,2018,7264,Automatic,88057,Diesel,153,27.9,3.5,5,1,0,0,Diesel,9,0,0,0,1
3 Series,2019,13241,Automatic,91251,Diesel,50,46.0,2.0,4,1,0,0,Diesel,2,0,0,0,1
7 Series,2019,79423,Automatic,88154,Petrol,37,35.7,2.5,4,1,0,0,Petrol,6,0,4,2,1
7 Series,2010,3000,Automatic,95535,Diesel,258,47.2,2.0,13,1,0,0,Diesel,6,0,0,0,0
3 Series,2010,76837,Semi-Auto,2573,Petrol,186,39.8,3.5,13,0,0,1,Petrol,2,2,4,2,0
X7,2012,72379,Automatic,9577,Hybrid,12,21.9,3.5,11,1,0,0,Hybrid,13,0,2,2,0
X5,2012,3000,Manual,140784,Diesel,222,51.5,2.0,11,0,1,0,Diesel,11,1,0,0,0
X4,2010,40865,Automatic,30948,Diesel,86,42.2,1.5,13,1,0,0,Diesel,10,0,0,1,0
6 Series,2021,32527,Automatic,78700,Petrol,258,49.0,2.5,2,1,0,0,Petrol,5,0,4,1,1
X1,2016,34503,Semi-Auto,6217,Diesel,180,25.0,3.0,7,0,0,1,Diesel,7,2,0,1,1
X2,2013,11982,Automatic,61178,Petrol,172,48.9,3.0,10,1,0,0,Petrol,8,0,4,0,0
1 Series,2019,48200,Automatic,86062,Diesel,194,36.5,2.5,4,1,0,0,Diesel,0,0,0,1,1
3 Series,2022,82462,Automatic,97806,Petrol,244,52.0,2.5,1,1,0,0,Petrol,2,0,4,2,1
1 Series,2011,24646,Automatic,110657,Diesel,195,44.0,2.5,12,1,0,0,Diesel,0,0,0,1,0
3 Series,2019,71738,Manual,68035,Petrol,61,34.2,1.5,4,0,1,0,Petrol,2,1,4,2,1
5 Series,2014,3000,Automatic,94075,Petrol,24,28.1,1.5,9,1,0,0,Petrol,4,0,4,0,0
3 Series,2015,17901,Semi-Auto,141741,Diesel,51,52.6,2.0,8,0,0,1,Diesel,2,2,0,0,0
X6,2018,84091,Automatic,22629,Diesel,49,42.4,3.0,5,1,0,0,Diesel,12,0,0,2,1
5 Series,2013,49961,Automatic,92282,Diesel,294,59.5,2.0,10,1,0,0,Diesel,4,0,0,2,0
3 Series,2011,37652,Automatic,47007,Petrol,51,34.9,2.5,12,1,0,0,Petrol,2,0,4,1,0
7 Series,2014,90248,Automatic,3039,Petrol,39,47.4,3.0,9,1,0,0,Petrol,6,0,4,2,0
1 Series,2012,3000,Semi-Auto,107615,Diesel,231,44.9,3.5,11,0,0,1,Diesel,0,2,0,0,0
X6,2011,16336,Automatic,4857,Diesel,59,45.5,2.5,12,1,0,0,Diesel,12,0,0,0,0
1 Series,2021,16596,Automatic,92432,Petrol,215,49.5,2.0,2,1,0,0,Petrol,0,0,4,0,1
i3,2010,17187,Manual,81977,Diesel,196,25.6,5.0,13,0,1,0,Diesel,15,1,0,0,0
X5,2019,45191,Manual,13735,Diesel,275,42.0,1.5,4,0,1,0,Diesel,11,1,0,1,1
3 Series,2011,71026,Automatic,47051,Diesel,1,40.4,2.5,12,1,0,0,Diesel,2,0,0,2,0
1 Series,2015,40694,Manual,125822,Petrol,105,33.7,4.4,8,0,1,0,Petrol,0,1,4,1,0
X6,2017,45969,Automatic,53693,Diesel,215,37.4,3.0,6,1,0,0,Diesel,12,0,0,1,1
X3,2022,42005,Automatic,108942,Petrol,264,40.8,3.0,1,1,0,0,Petrol,9,0,4,1,1
X3,2012,6618,Automatic,70152,Diesel,166,32.8,2.5,11,1,0,0,Diesel,9,0,0,0,0
X5,2020,7341,Automatic,81919,Petrol,246,31.7,1.5,3,1,0,0,Petrol,11,0,4,0,1
1 Series,2018,36468,Automatic,30756,Diesel,209,49.5,2.5,5,1,0,0,Diesel,0,0,0,1,1
5 Series,2021,3654,Automatic,135966,Diesel,57,22.7,2.5,2,1,0,0,Diesel,4,0,0,0,1
1 Series,2018,45072,Automatic,117412,Diesel,42,32.5,2.0,5,1,0,0,Diesel,0,0,0,1,1
4 Series,2011,5488,Manual,105531,Diesel,137,46.1,2.0,12,0,1,0,Diesel,3,1,0,0,0
X1,2017,60083,Semi-Auto,54214,Diesel,108,28.4,2.5,6,0,0,1,Diesel,7,2,0,2,1
3 Series,2019,22832,Manual,70817,Diesel,47,42.9,3.0,4,0,1,0,Diesel,2,1,0,1,1
1 Series,2020,64140,Automatic,64862,Petrol,125,32.1,4.4,3,1,0,0,Petrol,0,0,4,2,1
3 Series,2021,72854,Automatic,114084,Petrol,213,53.7,3.0,2,1,0,0,Petrol,2,0,4,2,1
3 Series,2014,51588,Automatic,29333,Diesel,127,34.0,3.5,9,1,0,0,Diesel,2,0,0,2,0
X3,2013,40918,Automatic,125361,Diesel,197,29.2,2.5,10,1,0,0,Diesel,9,0,0,1,0
X1,2019,6532,Automatic,98330,Diesel,201,41.2,2.0,4,1,0,0,Diesel,7,0,0,0,1
4 Series,2014,38461,Automatic,40288,Petrol,191,25.4,2.0,9,1,0,0,Petrol,3,0,4,1,0
5 Series,2013,4690,Manual,79588,Diesel,106,51.9,2.5,10,0,1,0,Diesel,4,1,0,0,0
1 Series,2017,41262,Automatic,116784,Petrol,193,47.2,3.0,6,1,0,0,Petrol,0,0,4,1,1
X3,2013,23836,Automatic,33175,Other,237,50.8,4.4,10,1,0,0,Other,9,0,3,1,0
X5,2022,80121,Automatic,9915,Petrol,131,36.0,3.5,1,1,0,0,Petrol,11,0,4,2,1
X1,2019,16063,Automatic,82658,Diesel,82,53.4,2.0,4,1,0,0,Diesel,7,0,0,0,1
X5,2021,27051,Automatic,110735,Diesel,283,39.7,3.5,2,1,0,0,Diesel,11,0,0,1,1
5 Series,2022,28643,Automatic,73454,Diesel,221,23.8,2.5,1,1,0,0,Diesel,4,0,0,1,1
7 Series,2015,3000,Automatic,96973,Petrol,105,29.0,2.0,8,1,0,0,Petrol,6,0,4,0,0
5 Series,2011,7118,Automatic,112342,Petrol,293,48.4,2.5,12,1,0,0,Petrol,4,0,4,0,0
1 Series,2014,35846,Automatic,14805,Diesel,65,55.9,3.0,9,1,0,0,Diesel,0,0,0,1,0
1 Series,2015,54354,Manual,55716,Diesel,194,23.8,3.5,8,0,1,0,Diesel,0,1,0,2,0
1 Series,2014,4834,Manual,134943,Petrol,187,54.6,2.5,9,0,1,0,Petrol,0,1,4,0,0
X1,2021,54691,Automatic,103793,Diesel,46,52.0,2.0,2,1,0,0,Diesel,7,0,0,2,1
3 Series,2011,5207,Automatic,38375,Diesel,24,34.3,1.5,12,1,0,0,Diesel,2,0,0,0,0
7 Series,2016,50047,Manual,111415,Diesel,65,47.6,2.0,7,0,1,0,Diesel,6,1,0,2,1
6 Series,2013,83876,Automatic,6834,Petrol,66,27.5,5.0,10,1,0,0,Petrol,5,0,4,2,0
3 Series,2017,77691,Automatic,43680,Petrol,196,52.5,5.0,6,1,0,0,Petrol,2,0,4,2,1
5 Series,2016,15464,Automatic,129802,Diesel,245,46.3,5.0,7,1,0,0,Diesel,4,0,0,0,0
X5,2016,74269,Automatic,4399,Diesel,295,37.6,2.5,7,1,0,0,Diesel,11,0,0,2,1
3 Series,2018,42895,Manual,106908,Diesel,99,54.6,2.0,5,0,1,0,Diesel,2,1,0,1,1
1 Series,2010,33820,Manual,77493,Diesel,177,25.6,6.0,13,0,1,0,Diesel,0,1,0,1,0
3 Series,2019,48780,Automatic,107035,Petrol,114,53.8,6.0,4,1,0,0,Petrol,2,0,4,1,1
3 Series,2015,32776,Automatic,127766,Petrol,167,21.0,1.5,8,1,0,0,Petrol,2,0,4,1,0
X2,2015,27531,Automatic,93674,Petrol,118,50.1,3.5,8,1,0,0,Petrol,8,0,4,1,0
X6,2015,24332,Automatic,82344,Hybrid,164,42.9,2.0,8,1,0,0,Hybrid,12,0,2,1,0
X1,2022,27613,Semi-Auto,94779,Diesel,218,47.9,4.4,1,0,0,1,Diesel,7,2,0,1,1
4 Series,2021,55663,Automatic,12809,Petrol,196,36.5,1.5,2,1,0,0,Petrol,3,0,4,2,1
X6,2015,3000,Automatic,149768,Petrol,236,54.6,4.0,8,1,0,0,Petrol,12,0,4,0,0
3 Series,2021,25220,Manual,131306,Diesel,168,32.5,1.5,2,0,1,0,Diesel,2,1,0,1,1
6 Series,2019,23864,Manual,60151,Diesel,75,31.0,2.5,4,0,1,0,Diesel,5,1,0,1,1
7 Series,2016,44671,Manual,85661,Hybrid,286,32.1,2.5,7,0,1,0,Hybrid,6,1,2,1,1
X6,2019,46422,Automatic,57632,Petrol,32,51.0,2.5,4,1,0,0,Petrol,12,0,4,1,1
6 Series,2015,3000,Automatic,120847,Diesel,298,39.8,2.5,8,1,0,0,Diesel,5,0,0,0,0
3 Series,2010,69634,Automatic,67533,Petrol,229,41.5,3.0,13,1,0,0,Petrol,2,0,4,2,0
1 Series,2012,12281,Automatic,114459,Petrol,194,53.3,1.5,11,1,0,0,Petrol,0,0,4,0,0
3 Series,2011,47425,Semi-Auto,72889,Petrol,293,53.3,3.0,12,0,0,1,Petrol,2,2,4,1,0
5 Series,2015,20320,Automatic,85239,Petrol,296,26.5,1.5,8,1,0,0,Petrol,4,0,4,0,0
X6,2017,48199,Semi-Auto,102511,Diesel,277,42.0,2.0,6,0,0,1,Diesel,12,2,0,1,1
4 Series,2012,16038,Automatic,58942,Hybrid,229,25.0,3.0,11,1,0,0,Hybrid,3,0,2,0,0
1 Series,2019,26662,Manual,10275,Petrol,95,54.7,1.5,4,0,1,0,Petrol,0,1,4,1,1
7 Series,2017,74842,Automatic,20965,Hybrid,170,53.5,6.0,6,1,0,0,Hybrid,6,0,2,2,1
5 Series,2017,57642,Semi-Auto,98955,Petrol,31,54.0,3.5,6,0,0,1,Petrol,4,2,4,2,1
3 Series,2014,3000,Automatic,115178,Diesel,44,48.2,3.0,9,1,0,0,Diesel,2,0,0,0,0
1 Series,2017,3000,Automatic,148045,Petrol,71,38.7,2.0,6,1,0,0,Petrol,0,0,4,0,1
3 Series,2015,26275,Manual,90086,Diesel,19,36.2,1.5,8,0,1,0,Diesel,2,1,0,1,0
X4,2014,57248,Automatic,27878,Petrol,238,35.8,5.0,9,1,0,0,Petrol,10,0,4,2,0
3 Series,2018,3000,Automatic,126664,Diesel,198,22.6,2.0,5,1,0,0,Diesel,2,0,0,0,1
7 Series,2016,43956,Semi-Auto,149177,Diesel,64,58.0,3.5,7,0,0,1,Diesel,6,2,0,1,1
X3,2017,3000,Automatic,114174,Diesel,187,38.0,2.0,6,1,0,0,Diesel,9,0,0,0,1
5 Series,2010,14288,Automatic,65746,Petrol,88,57.2,2.5,13,1,0,0,Petrol,4,0,4,0,0
Z4,2020,64614,Automatic,100458,Diesel,200,55.2,3.0,3,1,0,0,Diesel,14,0,0,2,1
X7,2011,3000,Manual,129684,Diesel,22,53.1,4.4,12,0,1,0,Diesel,13,1,0,0,0
3 Series,2017,83165,Automatic,40935,Electric,295,43.5,1.5,6,1,0,0,Electric,2,0,1,2,1
5 Series,2021,67126,Automatic,33784,Diesel,129,24.1,2.0,2,1,0,0,Diesel,4,0,0,2,1
3 Series,2018,37595,Automatic,40865,Other,153,33.0,3.5,5,1,0,0,Other,2,0,3,1,1
3 Series,2013,34150,Automatic,98081,Diesel,77,44.1,2.0,10,1,0,0,Diesel,2,0,0,1,0
1 Series,2021,50048,Automatic,79701,Diesel,189,20.5,2.0,2,1,0,0,Diesel,0,0,0,2,1
X1,2019,85925,Automatic,12654,Petrol,299,21.7,1.5,4,1,0,0,Petrol,7,0,4,2,1
7 Series,2020,49371,Automatic,18830,Diesel,153,47.1,2.5,3,1,0,0,Diesel,6,0,0,2,1
1 Series,2019,31467,Automatic,148277,Diesel,112,55.5,3.5,4,1,0,0,Diesel,0,0,0,1,1
3 Series,2018,26772,Automatic,43425,Petrol,116,54.2,5.0,5,1,0,0,Petrol,2,0,4,1,1
6 Series,2013,56632,Automatic,78355,Petrol,4,26.7,2.0,10,1,0,0,Petrol,5,0,4,2,0
3 Series,2019,20530,Automatic,109039,Electric,34,56.4,2.0,4,1,0,0,Electric,2,0,1,0,1
1 Series,2019,36920,Automatic,139024,Diesel,271,47.9,2.5,4,1,0,0,Diesel,0,0,0,1,1
5 Series,2019,18053,Automatic,48405,Petrol,158,48.7,1.5,4,1,0,0,Petrol,4,0,4,0,1
i3,2018,65228,Automatic,6391,Diesel,209,32.2,2.5,5,1,0,0,Diesel,15,0,0,2,1
3 Series,2020,103094,Automatic,16091,Petrol,13,48.6,3.0,3,1,0,0,Petrol,2,0,4,2,1
X3,2016,50167,Manual,31237,Diesel,24,48.4,2.0,7,0,1,0,Diesel,9,1,0,2,1
X5,2011,28095,Automatic,114268,Diesel,217,43.8,3.0,12,1,0,0,Diesel,11,0,0,1,0
3 Series,2018,54506,Automatic,59353,Petrol,253,34.3,5.0,5,1,0,0,Petrol,2,0,4,2,1
X3,2013,3000,Automatic,75500,Diesel,202,52.4,4.0,10,1,0,0,Diesel,9,0,0,0,0
5 Series,2017,14111,Automatic,113780,Petrol,100,57.5,2.5,6,1,0,0,Petrol,4,0,4,0,1
X1,2016,75705,Semi-Auto,27968,Diesel,228,54.8,2.5,7,0,0,1,Diesel,7,2,0,2,1
X1,2022,46534,Automatic,126401,Electric,198,29.7,2.5,1,1,0,0,Electric,7,0,1,1,1
7 Series,2016,50447,Automatic,29285,Petrol,177,37.8,4.0,7,1,0,0,Petrol,6,0,4,2,1
1 Series,2017,11330,Automatic,104507,Diesel,275,33.7,6.0,6,1,0,0,Diesel,0,0,0,0,1
2 Series,2010,69525,Automatic,16430,Diesel,129,48.3,3.5,13,1,0,0,Diesel,1,0,0,2,0
3 Series,2014,3000,Automatic,141105,Diesel,278,53.3,3.0,9,1,0,0,Diesel,2,0,0,0,0
3 Series,2011,11232,Automatic,19256,Petrol,287,28.6,1.5,12,1,0,0,Petrol,2,0,4,0,0
1 Series,2011,3000,Manual,122946,Diesel,140,57.9,5.0,12,0,1,0,Diesel,0,1,0,0,0
X1,2010,27114,Automatic,32188,Electric,12,47.1,4.0,13,1,0,0,Electric,7,0,1,1,0
X3,2014,25921,Automatic,56134,Petrol,216,28.7,3.5,9,1,0,0,Petrol,9,0,4,1,0
1 Series,2011,14578,Automatic,53657,Petrol,185,34.8,2.5,12,1,0,0,Petrol,0,0,4,0,0
7 Series,2013,61255,Automatic,37088,Petrol,26,24.2,2.5,10,1,0,0,Petrol,6,0,4,2,0
3 Series,2012,19049,Automatic,147051,Diesel,217,43.9,2.0,11,1,0,0,Diesel,2,0,0,0,0
X1,2012,22296,Automatic,51106,Hybrid,13,26.8,4.4,11,1,0,0,Hybrid,7,0,2,1,0
3 Series,2011,3000,Automatic,133667,Diesel,141,47.7,4.4,12,1,0,0,Diesel,2,0,0,0,0
X3,2022,9483,Automatic,68824,Petrol,54,49.5,2.0,1,1,0,0,Petrol,9,0,4,0,1
5 Series,2015,15876,Manual,106149,Diesel,190,39.2,3.0,8,0,1,0,Diesel,4,1,0,0,0
X4,2011,11641,Automatic,95547,Petrol,284,23.8,2.0,12,1,0,0,Petrol,10,0,4,0,0
1 Series,2017,57239,Manual,122624,Petrol,88,44.4,2.5,6,0,1,0,Petrol,0,1,4,2,1
3 Series,2017,3000,Automatic,149199,Diesel,44,34.9,2.5,6,1,0,0,Diesel,2,0,0,0,1
1 Series,2022,74257,Automatic,18878,Petrol,131,58.0,2.5,1,1,0,0,Petrol,0,0,4,2,1
X2,2021,32086,Semi-Auto,61690,Diesel,65,40.5,2.5,2,0,0,1,Diesel,8,2,0,1,1
4 Series,2014,17930,Automatic,78838,Diesel,278,22.9,2.5,9,1,0,0,Diesel,3,0,0,0,0
3 Series,2019,54467,Manual,109484,Diesel,147,45.4,3.5,4,0,1,0,Diesel,2,1,0,2,1
X3,2016,47622,Manual,132279,Electric,144,51.2,2.5,7,0,1,0,Electric,9,1,1,1,1
X6,2013,83457,Automatic,2083,Hybrid,5,26.4,3.5,10,1,0,0,Hybrid,12,0,2,2,0
X1,2010,92102,Automatic,4311,Petrol,81,38.0,3.0,13,1,0,0,Petrol,7,0,4,2,0
7 Series,2020,41872,Automatic,24135,Hybrid,122,49.7,3.5,3,1,0,0,Hybrid,6,0,2,1,1
3 Series,2011,42220,Semi-Auto,58109,Diesel,166,20.8,4.4,12,0,0,1,Diesel,2,2,0,1,0
1 Series,2019,16584,Manual,62354,Diesel,236,21.2,2.0,4,0,1,0,Diesel,0,1,0,0,1
6 Series,2019,3000,Automatic,107892,Petrol,104,47.1,2.5,4,1,0,0,Petrol,5,0,4,0,1
6 Series,2013,61444,Automatic,63233,Petrol,289,49.0,1.5,10,1,0,0,Petrol,5,0,4,2,0
X1,2010,57923,Automatic,90468,Electric,237,53.8,2.5,13,1,0,0,Electric,7,0,1,2,0
3 Series,2022,50900,Automatic,52588,Petrol,81,36.0,2.0,1,1,0,0,Petrol,2,0,4,2,1
3 Series,2017,69889,Automatic,32716,Petrol,93,35.6,3.0,6,1,0,0,Petrol,2,0,4,2,1
X3,2018,67401,Automatic,128558,Petrol,284,42.1,3.5,5,1,0,0,Petrol,9,0,4,2,1
6 Series,2013,74967,Automatic,79255,Hybrid,296,50.3,2.5,10,1,0,0,Hybrid,5,0,2,2,0
4 Series,2019,59220,Automatic,128326,Diesel,65,45.6,2.5,4,1,0,0,Diesel,3,0,0,2,1
X5,2012,41916,Manual,122921,Hybrid,111,33.1,2.0,11,0,1,0,Hybrid,11,1,2,1,0
X1,2011,54941,Semi-Auto,94481,Petrol,170,33.9,1.5,12,0,0,1,Petrol,7,2,4,2,0
1 Series,2014,14310,Manual,136091,Petrol,246,50.5,3.0,9,0,1,0,Petrol,0,1,4,0,0
3 Series,2012,46354,Manual,76018,Diesel,65,41.4,1.5,11,0,1,0,Diesel,2,1,0,1,0
6 Series,2019,43154,Automatic,47873,Diesel,67,23.9,4.4,4,1,0,0,Diesel,5,0,0,1,1
X1,2016,58674,Automatic,131241,Petrol,33,26.1,3.0,7,1,0,0,Petrol,7,0,4,2,1
1 Series,2020,44345,Automatic,141967,Petrol,0,54.0,2.5,3,1,0,0,Petrol,0,0,4,1,1
1 Series,2015,36070,Manual,95672,Petrol,150,60.0,1.5,8,0,1,0,Petrol,0,1,4,1,0
X3,2010,3000,Semi-Auto,48672,Petrol,271,33.4,2.5,13,0,0,1,Petrol,9,2,4,0,0
1 Series,2021,34386,Manual,7121,Diesel,257,35.5,4.0,2,0,1,0,Diesel,0,1,0,1,1
3 Series,2017,46855,Manual,100332,Petrol,237,26.2,5.0,6,0,1,0,Petrol,2,1,4,1,1
7 Series,2011,60850,Automatic,83445,Petrol,115,29.4,1.5,12,1,0,0,Petrol,6,0,4,2,0
X3,2014,82648,Automatic,68863,Petrol,75,37.0,3.5,9,1,0,0,Petrol,9,0,4,2,0
X3,2018,56085,Automatic,50987,Petrol,282,31.4,2.0,5,1,0,0,Petrol,9,0,4,2,1
3 Series,2017,34463,Automatic,101787,Hybrid,18,48.1,2.5,6,1,0,0,Hybrid,2,0,2,1,1
X3,2011,12728,Automatic,129215,Petrol,283,41.5,2.5,12,1,0,0,Petrol,9,0,4,0,0
3 Series,2018,45162,Automatic,98083,Petrol,34,52.9,6.0,5,1,0,0,Petrol,2,0,4,1,1
3 Series,2014,23626,Automatic,32688,Diesel,240,49.0,2.0,9,1,0,0,Diesel,2,0,0,1,0
X5,2019,14853,Automatic,109034,Diesel,6,25.1,2.0,4,1,0,0,Diesel,11,0,0,0,1
X1,2015,3841,Automatic,109406,Diesel,36,24.9,3.0,8,1,0,0,Diesel,7,0,0,0,0
2 Series,2022,116605,Automatic,8304,Petrol,152,55.8,4.0,1,1,0,0,Petrol,1,0,4,2,1
X3,2012,29214,Automatic,136121,Diesel,244,52.8,3.0,11,1,0,0,Diesel,9,0,0,1,0
X1,2022,50856,Automatic,15947,Diesel,249,38.7,2.5,1,1,0,0,Diesel,7,0,0,2,1
1 Series,2012,39320,Automatic,10495,Petrol,114,25.2,5.0,11,1,0,0,Petrol,0,0,4,1,0
5 Series,2019,85568,Manual,25707,Petrol,40,55.9,6.0,4,0,1,0,Petrol,4,1,4,2,1
3 Series,2017,24568,Automatic,45544,Diesel,61,29.2,3.5,6,1,0,0,Diesel,2,0,0,1,1
3 Series,2020,7355,Automatic,101770,Diesel,168,21.4,3.5,3,1,0,0,Diesel,2,0,0,0,1
Z4,2019,59299,Manual,15987,Electric,141,57.0,3.5,4,0,1,0,Electric,14,1,1,2,1
5 Series,2019,42052,Manual,66997,Diesel,257,52.4,2.0,4,0,1,0,Diesel,4,1,0,1,1
6 Series,2021,49359,Manual,10993,Diesel,87,47.7,2.0,2,0,1,0,Diesel,5,1,0,2,1
X1,2011,39259,Automatic,12465,Petrol,47,21.4,3.0,12,1,0,0,Petrol,7,0,4,1,0
X6,2020,57903,Automatic,83071,Diesel,11,41.1,5.0,3,1,0,0,Diesel,12,0,0,2,1
7 Series,2021,96352,Automatic,33640,Diesel,210,46.1,4.0,2,1,0,0,Diesel,6,0,0,2,1
X1,2021,46860,Automatic,76997,Diesel,243,50.4,2.0,2,1,0,0,Diesel,7,0,0,1,1
5 Series,2011,69867,Semi-Auto,13366,Petrol,238,38.8,1.5,12,0,0,1,Petrol,4,2,4,2,0
3 Series,2022,87885,Automatic,30895,Petrol,196,58.1,4.0,1,1,0,0,Petrol,2,0,4,2,1
X3,2014,83283,Automatic,2785,Diesel,256,29.8,3.0,9,1,0,0,Diesel,9,0,0,2,0
3 Series,2015,87591,Automatic,7242,Petrol,234,22.8,2.5,8,1,0,0,Petrol,2,0,4,2,1
1 Series,2021,79239,Automatic,25529,Petrol,186,33.3,3.0,2,1,0,0,Petrol,0,0,4,2,1
X1,2011,3000,Automatic,113616,Petrol,200,46.5,2.0,12,1,0,0,Petrol,7,0,4,0,0
3 Series,2014,31537,Manual,65399,Petrol,102,49.5,4.4,9,0,1,0,Petrol,2,1,4,1,0
X4,2016,81568,Manual,7356,Diesel,289,49.5,3.5,7,0,1,0,Diesel,10,1,0,2,1
X7,2019,31410,Semi-Auto,86380,Diesel,220,24.4,5.0,4,0,0,1,Diesel,13,2,0,1,1
X2,2019,75245,Automatic,19220,Petrol,186,55.4,2.0,4,1,0,0,Petrol,8,0,4,2,1
5 Series,2017,65532,Automatic,98222,Diesel,98,31.2,3.5,6,1,0,0,Diesel,4,0,0,2,1
